method,n,p,time
'conv',10,0.5,0.0003829002380371094
'inv',10,0.5,0.00036597251892089844
'exp',10,0.5,0.0010495185852050781
'conv',100,0.01,0.0002620220184326172
'inv',100,0.01,1.9847526550292969
'exp',100,0.01,0.0004703998565673828
'conv',1000000,1e-05,0.000263214111328125
